group_course_quarter,group_course_name,group_course_title,group_course_professor,group_course_days,group_course_time,group_course_location,created_on,is_active,group_course_subject_area
SPRING 2024,ANTH 2,INTRO CULT ANTHRO,WALSH C,M W F,1:00pm - 1:50pm,CAMPBHALL,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 3,INTRO ARCH,KENNETT D J,T R,9:30 am - 10:45am,IV THEA1,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 106,CULTURAL EVOLUTION,LAWSON D W,T R,3:30pm - 4:45pm,BUCHN1934,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 113,INDIGENOUS PEOPLE,SALDIVAR TANA,R,4:00pm - 6:50pm,PSYCH1924,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 129,ETHNOGRAPH RES METH,SALDIVAR TANA,W,2:00pm - 4:50pm,HSSB 2001A,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 130,INTL DEV POP HEALTH,LAWSON D W,M W,3:30pm - 4:45pm,BRDA 1640,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 135,CULT ANTH OF MEXICO,PACHECO R,W F,8:00 am - 9:15 am,PHELP1260,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 139CH,LANDBACK REP & ECON,"HALE C R, LINVILLE D D",W,5:00pm - 7:50pm,ELLSN2626,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 151T,EVOLUTIONARY PSYCH,"GAULIN S J, EDELMAN L N",T R,3:30pm - 4:45pm,IV THEA2,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 171,EVOLUTIONARY MED,BODDY A M,T R,2:00pm - 3:15pm,PSYCH1924,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 176TS,ANC EGYPT RELIGION,SMITH S T,M W,12:30pm - 1:45pm,WEBB 1100,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 182M,INTRO LITHIC ANALYS,WILSON G D,T R,12:30pm - 1:45pm,HSSB 1021,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 186,PALEOETHNOBOT LAB,VANDERWARKER,M W,12:30pm - 1:45pm,HSSB 1021,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 195A,ANTH HNR RES DESIGN,VANDERWARKER,M W,9:30 am - 10:45am,HSSB 2018,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 195B,ANTH HNR IND STDY I,T B A,,,T B A,2024-04-02 00:00:00,1,Anthropology - ANTH
SPRING 2024,ANTH 195C,ANTH HNR IND STD II,T B A,,,T B A,2024-04-02 00:00:00,1,Anthropology - ANTH
