group_course_quarter,group_course_name,group_course_title,group_course_professor,group_course_days,group_course_time,group_course_location,created_on,is_active,group_course_subject_area
SUMMER 2024,ANTH 2,INTRO CULT ANTHRO,WALSH C,MTWR,9:30 am - 10:35am,ON LINE,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 2,INTRO CULT ANTHRO,LINVILLE D D,MTWR,9:30 am - 10:35am,HSSB 1174,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 3SS,INTRO ARCH,NOE S J,MTWR,12:30pm - 1:35pm,NH 1105,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 5,INTRO BIO ANTH,DAVISON R J,MTWR,11:00am - 12:20pm,ON LINE,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 102,ACTIVIST ANTH,WALSH C,T R,2:00pm - 4:05pm,ON LINE,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 109,HUMAN UNIVERSALS,T B A,MTWR,5:00pm - 6:05pm,ILP 3103,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 111,ANTHRO OF FOOD,COYOTECATL CO,MTWR,11:00am - 12:05pm,SH 1430,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 113,INDIGENOUS PEOPLE,SALDIVAR TANA,T R,2:00pm - 4:05pm,ON LINE,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 117,BORDERLANDS,ABAZA G M,MTWR,12:30pm - 1:35pm,PHELP2532,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 133,CULT DEVEL MESOAMER,MITCHELL S T,MTWR,2:00pm - 3:05pm,ILP 3101,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 138TS,ARCH OF EGYPT,"SMITH E K, HOFFMAN A J",T R,2:00pm - 4:05pm,ILP 3205,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 194P,PRACTICUM FIELD/LAB,T B A,,,T B A,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 195C,ANTH HNR IND STD II,T B A,,,T B A,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 199,INDEP STUDIES ANTH,T B A,,,T B A,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ANTH 199RA,RESEARCH TRAINING,T B A,,,T B A,2024-06-29 00:00:00,1,Anthropology - ANTH
SUMMER 2024,ART 1A,VISUAL LITERACY,TASCHIAN H J,T R,12:00pm - 2:05pm,ARTS 1344,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 10,INTRO PAINTING,"KOTH M K, BELL L L",M W,2:00pm - 6:10pm,ARTS 2628,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 10,INTRO PAINTING,"GLOVER Y H, MCCORMICK A T",M W,12:00pm - 4:10pm,ARTS 2628,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 18,L/D DRAWING,"BELTZ E A, HIDALGO D A",M W,9:00 am - 1:10pm,ARTS 2636,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 18,L/D DRAWING,"GARCIA K, FARAJIANI N",T R,2:00pm - 6:10pm,ARTS 2636,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 100,INT PAINTING,KOTH M K,M W,10:00am - 1:05pm,ARTS 2422,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 100,INT PAINTING,GLOVER Y H,M W,4:30pm - 7:35pm,ARTS 2422,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 117,INT DRAWING,GARCIA K,T R,10:30am - 1:35pm,ARTS 2636,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 117,INT DRAWING,BELTZ E A,T R,10:00am - 1:05pm,ARTS 2636,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 125,ART SINCE 1950,VANDERPOOL J,T R,9:00 am - 11:05am,ARTS 1344,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 130,VISUAL ART/CULTURE,TASCHIAN H J,T R,2:30pm - 4:35pm,ARTS 1344,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ART 199RA,RESEARCH ASSISTANCE,T B A,,,T B A,2024-06-29 00:00:00,1,Art - ART
SUMMER 2024,ARTHI 5A,ARCHITECT & ENVIRON,FAICHNEY S,MTWR,9:30 am - 10:50am,BUCHN1940,2024-06-29 00:00:00,1,Art History - ARTHI
